Nombre	Fecha	Hora	 N Modulo	Pmp	Vmp	Imp	Isc	Voc	FF	Sensor  1 T	Sensor  2 T	Sensor  3 T	Sensor  4 T	Sensor  5 B	Sensor  6 B	Sensor  7 B	Sensor  8 B	Sensor  9 AI	Sensor  10 AI	Sensor  11 AI	Sensor  12 AI	
RR1000	04/03/2023	10:38:38	 1,000	 125,3	 15,92	 7,872	 9,295	 21,64	 0,6232	 20,11	 0,000	 0,000	 0,000	 0,09996	 0,06406	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	10:38:50	 2,000	 134,1	 15,38	 8,720	 9,407	 21,68	 0,6574	 0,000	 22,85	 0,000	 0,000	 0,09996	 0,06413	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	10:39:00	 3,000	 134,6	 15,34	 8,774	 9,472	 21,71	 0,6548	 0,000	 0,000	 21,20	 0,000	 0,09996	 0,06415	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
Nombre	Fecha	Hora	 N Modulo	Pmp	Vmp	Imp	Isc	Voc	FF	Sensor  1 T	Sensor  2 T	Sensor  3 T	Sensor  4 T	Sensor  5 B	Sensor  6 B	Sensor  7 B	Sensor  8 B	Sensor  9 AI	Sensor  10 AI	Sensor  11 AI	Sensor  12 AI	
RR1000	04/03/2023	10:39:47	 1,000	 224,0	 18,55	 12,08	 56,49	 21,68	 0,1830	 23,56	 0,000	 0,000	 0,000	 0,09996	 0,06409	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	10:39:57	 2,000	 224,6	 18,60	 12,07	 23,74	 21,69	 0,4361	 0,000	 24,75	 0,000	 0,000	 0,09996	 0,06415	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
Nombre	Fecha	Hora	 N Modulo	Pmp	Vmp	Imp	Isc	Voc	FF	Sensor  1 T	Sensor  2 T	Sensor  3 T	Sensor  4 T	Sensor  5 B	Sensor  6 B	Sensor  7 B	Sensor  8 B	Sensor  9 AI	Sensor  10 AI	Sensor  11 AI	Sensor  12 AI	
RR1000	04/03/2023	10:40:37	 1,000	 214,7	 17,78	 12,07	 -14,95	 21,46	 -0,6693	 24,61	 0,000	 0,000	 0,000	 0,09996	 0,06419	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
Nombre	Fecha	Hora	 N Modulo	Pmp	Vmp	Imp	Isc	Voc	FF	Sensor  1 T	Sensor  2 T	Sensor  3 T	Sensor  4 T	Sensor  5 B	Sensor  6 B	Sensor  7 B	Sensor  8 B	Sensor  9 AI	Sensor  10 AI	Sensor  11 AI	Sensor  12 AI	
RR1000	04/03/2023	10:41:24	 1,000	 213,9	 17,71	 12,07	 34,01	 21,39	 0,2940	 26,23	 0,000	 0,000	 0,000	 0,09996	 0,06433	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR2000	04/03/2023	10:41:34	 2,000	 214,6	 17,77	 12,07	 61,37	 21,39	 0,1634	 0,000	 27,65	 0,000	 0,000	 0,09996	 0,06437	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
RR3000	04/03/2023	10:41:46	 3,000	 131,6	 15,28	 8,616	 9,568	 21,39	 0,6431	 0,000	 0,000	 26,55	 0,000	 0,09996	 0,06440	 0,09999	 0,09996	 0,000	 0,000	 0,000	 0,000	
